search_method;query_type;document_type;nDCG@10;P@5;MRR;avg_duration
tf-idf;combination_free;structured_fulltext;0,9255;0,9714;1,0;0,0010204081632653062
tf-idf;combination_free_synonym;fulltext;0,5676;0,5878;0,7515;0,001
tf-idf;combination_free_synonym;structured;0,5025;0,4776;0,4684;0,0011020408163265308
tf-idf;combination_free_synonym;structured_fulltext;0,5912;0,5837;0,7234;0,0010204081632653062
tf-idf;combination_keyword;fulltext;0,9296;0,9796;1,0;0,001
tf-idf;combination_keyword;structured;0,9264;0,9837;1,0;0,0010612244897959184
tf-idf;combination_keyword;structured_fulltext;0,9333;0,9796;1,0;0,0010204081632653062
tf-idf;combination_keyword_synonym;fulltext;0,6154;0,6204;0,841;0,0011020408163265308
tf-idf;combination_keyword_synonym;structured;0,5621;0,5102;0,7301;0,0010408163265306124
tf-idf;combination_keyword_synonym;structured_fulltext;0,6228;0,6041;0,8359;0,001
tf-idf;single_free;fulltext;0,8029;0,8514;1,0;0,0010285714285714286
tf-idf;single_free;structured;0,6804;0,6857;0,7508;0,0011142857142857144
tf-idf;single_free;structured_fulltext;0,9046;0,9943;1,0;0,0010285714285714286
tf-idf;single_free_synonym;fulltext;0,4084;0,3029;0,517;0,001
tf-idf;single_free_synonym;structured;0,2948;0,1714;0,2696;0,0010285714285714286
tf-idf;single_free_synonym;structured_fulltext;0,3956;0,2914;0,4546;0,001
tf-idf;single_keyword;fulltext;0,9174;0,9943;1,0;0,0010571428571428572
tf-idf;single_keyword;structured;0,9156;0,9943;0,9857;0,0012571428571428573
tf-idf;single_keyword;structured_fulltext;0,9201;0,9886;1,0;0,0010285714285714286
tf-idf;single_keyword_synonym;fulltext;0,4674;0,36;0,7236;0,001
tf-idf;single_keyword_synonym;structured;0,4291;0,2743;0,6337;0,001142857142857143
tf-idf;single_keyword_synonym;structured_fulltext;0,4655;0,3543;0,7188;0,001
